"Item","Qty","Reference(s)","Value","LCSC#","manf#","provedor"
"1","2","C1, C15","27pF","","EC",""
"2","5","C2, C5, C6, C8, C22","1uF","C26413","EC","LCSC"
"3","2","C3, C4","10pF","","885012007076","LCSC"
"4","2","C7, C9","100nF","C387984","885012207072","LCSC"
"5","2","C10, C11","1nF/16V","","CC0201JRX7R7BB102","MOUSER"
"6","2","C12, C13","680pF","","885012206107","MOUSER"
"7","2","C14, C18","100pF/50V","","06035A101JAT4A","MOUSER"
"8","3","C16, C23, C24","10uF","C326057","C0805C106K9PACTU","LCSC"
"9","10","C17, C21, C25, C26, C27, C28, C29, C30, C31, C32","0.1uF","","EC",""
"10","2","C19, C20","120pF","","C0603C121J5GAC","LCSC"
"11","4","D1, D2, D3, D4","LED","C130114","-","LCSC"
"12","1","D5","MBR120","C723989","-","LCSC"
"13","1","F1","0.5A","-","MFU0805FF00500P100","MOUSER"
"14","4","H1, H2, H3, H4","MountingHole","-","-","-"
"15","1","J1","Battery","-","-","-"
"16","1","JP1","BOOT","","",""
"17","2","L1, L2","160nH","C434822","MLJ1608WR16JT000","LCSC"
"18","1","L3","L","-","-","-"
"19","1","P1","USB_C_Plug_USB2.0","C393939","-","LCSC"
"20","1","Q1","DMG3415U-7","C96616","-","LCSC"
"21","3","R1, R2, R24","10K","C15401","-","LCSC"
"22","5","R3, R5, R6, R19, R20","100K","C15458","ERJ6RBD1003V","LCSC"
"23","3","R4, R17, R18","330","C517454","CRCW08051K50FKEAC","LCSC"
"24","2","R7, R12","1K","C517454","CRCW08051K50FKEAC","LCSC"
"25","2","R8, R9","5k1","C131715","CR0805-FX-5101ELF","LCSC"
"26","1","R10","4.7K","C116693","ERJ-3GEYJ472V","LCSC"
"27","2","R11, R13","2k2","C217937","RC0603JR-072K2L","LCSC"
"28","2","R14, R15","3.24R","","RC0603FR-073R4L","MOUSER"
"29","2","R21, R22","27","","",""
"30","1","SW1","RESET","C318890","-","LCSC"
"31","1","SW2","GPIO","C318890","-","LCSC"
"32","1","SW3","GPIO1","C318890","-","LCSC"
"33","1","SW4","GPIO2","C318890","-","LCSC"
"34","1","SW5","ON","-","-","-"
"35","1","U1","RP2040","","",""
"36","1","U2","PN7150B0HN_C11002E-PN7150B0HN_C11002E","-","PN7150B0HN/C11002","MOUSER"
"37","1","U3","MCP73831-3-OT","-","MCP73831-3-OT","MOUSER"
"38","1","U4","AP2112K-3.3","-","AP2112K-3.3","MOUSER"
"39","1","U5","W25Q16JV","","W25Q16JVUUIQ",""
"40","1","Y1","27.12Mhz","-","520-271.2-6-37-JTNT","MOUSER"
"41","1","Y2","12Mhz","C709001","CM4012M00020T8188026",""
